Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Adv_Mean                 Adv_Std                  Smp_Reward_Mean          Smp_Reward_Std           Sds_Loss_Mean            Sds_Loss_Std             Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
3500                     5.003696495956845        458883072                465.681396484375         570.004638671875         4109                     438.832763671875         560.6616821289062        21959                    8.24293327331543         -0.020703239366412163    0.1239776611328125       1.0003050565719604       4.870290922553977e-06    -0.594871461391449       2.8840596675872803       0.37818944454193115      0.12292081862688065      0.3371846079826355       0.181900754570961        0.33357593417167664      0.4347836673259735       1.0                      
3600                     5.14285675128301         471990272                463.9195861816406        570.9205322265625        4115                     439.9696350097656        559.0248413085938        22001                    8.140083312988281        -0.0216426532715559      0.136820986866951        1.0005797147750854       6.034339548932621e-06    -0.5926532745361328      2.8653972148895264       0.38052958250045776      0.12377815693616867      0.3373779058456421       0.20469775795936584      0.33357593417167664      0.4347836673259735       1.0                      
3700                     5.28059882276588         485097472                472.5523681640625        577.2343139648438        4102                     441.4532775878906        561.1441650390625        21944                    8.74722957611084         -0.023497866466641426    0.1298828125             1.0006650686264038       5.743067504226929e-06    -0.6237014532089233      2.9650723934173584       0.3798070251941681       0.12562115490436554      0.3392254114151001       0.19771897792816162      0.33357593417167664      0.4347836673259735       1.0                      
3800                     5.418897078368399        498204672                474.35638427734375       577.8401489257812        4104                     444.7546081542969        563.9800415039062        21815                    8.301384925842285        -0.022410722449421883    0.1381683349609375       1.000476598739624        1.290185082325479e-05    -0.6100616455078125      2.872650384902954        0.3856891691684723       0.12634778022766113      0.3336998224258423       0.20587579905986786      0.33357593417167664      0.4347836673259735       1.0                      
3900                     5.557436162696944        511311872                474.2329406738281        577.5460815429688        4100                     447.3033447265625        566.3106079101562        21724                    8.565719604492188        -0.022373421117663383    0.12601928412914276      1.0007785558700562       7.504916084144497e-06    -0.6512688398361206      2.94268798828125         0.38325661420822144      0.13073499500751495      0.33906134963035583      0.20004674792289734      0.33357593417167664      0.4347836673259735       1.0                      
4000                     5.696085703836547        524419072                473.6776428222656        576.340087890625         4102                     448.4405212402344        566.78125                21704                    8.9462890625             -0.021162474527955055    0.13323211669921875      1.0007039308547974       4.899111900158459e-06    -0.6324087381362915      3.0053980350494385       0.39067259430885315      0.1269473433494568       0.32797959446907043      0.18499135971069336      0.33357593417167664      0.4347836673259735       1.0                      
4100                     5.835378944211536        537526272                474.7284851074219        581.9744262695312        4098                     449.7464599609375        567.5687866210938        21661                    8.166497230529785        -0.02100284956395626     0.12200164794921875      1.0009639263153076       5.459525254991604e-06    -0.6601083874702454      2.8661129474639893       0.3927318751811981       0.12842515110969543      0.3263241946697235       0.18355846405029297      0.33357593417167664      0.4347836673259735       1.0                      
4200                     5.973774614466561        550633472                477.9020690917969        581.1431274414062        4102                     453.3043518066406        571.2452392578125        21522                    8.91677474975586         -0.021303018555045128    0.13452301919460297      1.0007665157318115       7.394128715532133e-06    -0.6195469498634338      3.0004169940948486       0.3940829038619995       0.12690021097660065      0.325495183467865        0.19761338829994202      0.33357593417167664      0.4347836673259735       1.0                      
4300                     6.112742693357998        563740672                481.5115051269531        583.4112548828125        4097                     454.5859069824219        571.083984375            21541                    8.114964485168457        -0.02245457097887993     0.12445678561925888      1.000876784324646        7.465986072929809e-06    -0.5482822060585022      2.871880054473877        0.39519795775413513      0.12930084764957428      0.3244600296020508       0.19306892156600952      0.33357593417167664      0.4347836673259735       1.0                      
4400                     6.252561303178469        576847872                484.1288757324219        586.023681640625         4098                     457.1862487792969        573.457763671875         21433                    9.36793327331543         -0.021544765681028366    0.1332443207502365       1.0005215406417847       7.574522896902636e-06    -0.6722375750541687      3.0807182788848877       0.3936316967010498       0.13064756989479065      0.3284066915512085       0.20962835848331451      0.33357593417167664      0.4347836673259735       1.0                      
4500                     6.3925045408805214       589955072                484.6818542480469        586.3798217773438        4097                     458.6706237792969        575.9336547851562        21335                    7.867349624633789        -0.022006507962942123    0.12774506211280823      1.0008100271224976       9.277440767618828e-06    -0.5974180698394775      2.8115999698638916       0.3958112299442291       0.13059058785438538      0.32523852586746216      0.21407344937324524      0.33357593417167664      0.4347836673259735       1.0                      
